venue,exchange,product_name,contract_symbol,product_type,underlying_code,underlying_description,contract_size,unit_of_trading,currency,minimum_tick,last_trading_day_rule,contract_series,final_payment_date_rule,business_days,notes,source
ICE,ICE Futures Europe,Handysize Timecharter (Baltic) Freight Future,TCH,Future,Handysize Timecharter Index,Baltic Exchange Handysize Timecharter Index (public assessment),1 day of time charter,"Any multiple of 1 day of time charter",USD,0.01 USD/day,"Last trading day of the contract month; Dec contract expires on Dec 24 or previous business day if Dec 24 is non-working","Up to 48 consecutive months","Two Clearing House Business Days following the Last Trading Day","Publication days for Baltic Exchange","Daily settlement floating price determined by ICE using multiple market sources; final settlement is average of Baltic spot assessments over the determination period",ProductSpec_6729757.pdf
ICE,ICE Futures Europe,Baltic Dry Index (BDI) Future,BDI,Future,BDI,Baltic Dry Index (BDI) as made public by the Baltic Exchange,"$10.00 × BDI","Index points",USD,"1 index point","Last trading day of the contract month; Dec contract expires on Dec 24 or previous business day if Dec 24 is non-working","Up to 60 consecutive months","Two Clearing House Business Days following the last day in the determination period","Publication days for Baltic Exchange","Daily settlement floating price determined by ICE using multiple market sources; final settlement based on average of Baltic BDI index points during determination period",ProductSpec_83048584.pdf
