market,segment,broker_name,website_url,approved_by,notes
DRY,FORWARD_ASSESSMENTS,Arrow,https://arrowship.com,Baltic Exchange,Approved Forward Assessments broker (Dry)
DRY,FORWARD_ASSESSMENTS,Braemar,https://braemar.com,Baltic Exchange,Approved Forward Assessments broker (Dry)
DRY,FORWARD_ASSESSMENTS,Clarksons,https://www.clarksons.com,Baltic Exchange,Approved Forward Assessments broker (Dry)
DRY,FORWARD_ASSESSMENTS,FIS,https://freightinvestorservices.com,Baltic Exchange,Approved Forward Assessments broker (Dry)
DRY,FORWARD_ASSESSMENTS,GFI,https://www.gfigroup.com,Baltic Exchange,Approved Forward Assessments broker (Dry)
DRY,FORWARD_ASSESSMENTS,Lightship,https://www.lightshipchartering.com,Baltic Exchange,Approved Forward Assessments broker (Dry)
DRY,FORWARD_ASSESSMENTS,SSY,https://www.ssyglobal.com,Baltic Exchange,Approved Forward Assessments broker (Dry)
