index_value_id,index_id,index_short_name,index_name,isin,detail_url,history_url,local_file,rows,status,error,calculation
456374,37,BCI,Baltic Capesize Index,WRLDBCI,https://seecapitalmarkets.com/en/index-detailed?IndexValueId=456374,https://seecapitalmarkets.com/SingleIndexValues/GetHistoryDataAscending?indexId=37&years=50,excels/BCI_37.xlsx,4198,downloaded,,"RoundedSum(C8_182*0.15, C9_182*0.125, C10_182*0.35, C14_182*0.25, C16_182*0.125)*0.11026"
456379,38,BCTI,Baltic Clean Tanker Index,WRLDBCTI,https://seecapitalmarkets.com/en/index-detailed?IndexValueId=456379,https://seecapitalmarkets.com/SingleIndexValues/GetHistoryDataAscending?indexId=38&years=50,excels/BCTI_38.xlsx,4393,downloaded,,"Average(TC1, TC2_37, TC5, TC6, TC9, TC16)*4.54072288"
456373,39,BDI,Baltic Dry Index,WRLDBDI,https://seecapitalmarkets.com/en/index-detailed?IndexValueId=456373,https://seecapitalmarkets.com/SingleIndexValues/GetHistoryDataAscending?indexId=39&years=50,excels/BDI_39.xlsx,4414,downloaded,,"0.40*BCI + 0.30*BPI + 0.30*BSI"
456378,40,BDTI,Baltic Dirty Tanker Index,WRLDBDTI,https://seecapitalmarkets.com/en/index-detailed?IndexValueId=456378,https://seecapitalmarkets.com/SingleIndexValues/GetHistoryDataAscending?indexId=40&years=50,excels/BDTI_40.xlsx,4407,downloaded,,"RoundedSum(TD2*0.09090909090909091, TD3C*0.09090909090909090, TD6*0.09090909090909090, TD7*0.09090909090909090, TD8*0.09090909090909090, TD9*0.09090909090909090, TD14*0.09090909090909090, TD15*0.09090909090909090, TD18*0.09090909090909090, TD19*0.09090909090909090, TD20*0.09090909090909090)*8.415737054"
456377,41,BHSI,Baltic Handysize Index,WRLDBHSI,https://seecapitalmarkets.com/en/index-detailed?IndexValueId=456377,https://seecapitalmarkets.com/SingleIndexValues/GetHistoryDataAscending?indexId=41&years=50,excels/BHSI_41.xlsx,4205,downloaded,,"Sum(HS1_38*0.006944444, HS2_38*0.006944444, HS3_38*0.006944444, HS4_38*0.006944444, HS5_38*0.011111111, HS6_38*0.011111111, HS7_38*0.005555556)"
456375,42,BPI,Baltic Panamax Index,WRLDBPI,https://seecapitalmarkets.com/en/index-detailed?IndexValueId=456375,https://seecapitalmarkets.com/SingleIndexValues/GetHistoryDataAscending?indexId=42&years=50,excels/BPI_42.xlsx,4204,downloaded,,"Sum(P1A_82*0.027777775, P2A_82*0.01111111, P3A_82*0.027777775, P4_82*0.01111111, P6_82*0.03333333)"
456376,43,BSI,Baltic Supramax Index,WRLDBSI,https://seecapitalmarkets.com/en/index-detailed?IndexValueId=456376,https://seecapitalmarkets.com/SingleIndexValues/GetHistoryDataAscending?indexId=43&years=50,excels/BSI_43.xlsx,4202,downloaded,,"Sum(S1B_63*0.05, S1C_63*0.05, S2_63*0.15, S3_63*0.15, S4A_63*0.075, S4B_63*0.10, S5_63*0.05, S8_63*0.10, S9_63*0.075, S10_63*0.10, S15_63*0.10)*0.079112625"
